"module name","license","repository"
"@protobufjs/codegen@2.0.4","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/eventemitter@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/fetch@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/float@1.0.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/inquire@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/path@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/pool@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/utf8@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@redis/bloom@1.2.0","MIT",""
"@redis/client@1.6.0","MIT","https://github.com/redis/node-redis"
"@redis/graph@1.1.1","MIT","https://github.com/redis/node-redis"
"@redis/json@1.0.7","MIT","https://github.com/redis/node-redis"
"@redis/search@1.2.0","MIT","https://github.com/redis/node-redis"
"@redis/time-series@1.1.0","MIT","https://github.com/redis/node-redis"
"@redocly/ajv@8.11.2","MIT","https://github.com/ajv-validator/ajv"
"@redocly/config@0.21.0","MIT",""
"@redocly/openapi-core@1.32.0","MIT","https://github.com/Redocly/redocly-cli"
"@rollup/plugin-alias@5.1.1","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-commonjs@28.0.2","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-inject@5.0.5","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-json@6.1.0","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-node-resolve@15.3.1","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-replace@6.0.2","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-terser@0.4.4","MIT","https://github.com/rollup/plugins"
